"","x"
"data",1599
"use",753
"cloud",579
"realli",540
"need",530
"custom",504
"now",502
"hpe",501
"time",447
"actual",425
"servic",424
"think",422
"applic",388
"system",360
"manag",343
"storag",334
"talk",333
"infrastructur",313
"work",313
"product",297
"provid",292
"abl",287
"environ",279
"differ",274
"let",268
"start",256
"server",248
"deploy",247
"creat",242
"busi",235
"help",235
"learn",235
"first",226
"power",225
"technolog",219
"experi",208
"capabl",204
"solut",203
"someth",203
"model",199
"exampl",198
"call",195
"azur",193
"build",191
"today",191
"platform",190
"mean",188
"process",187
"chang",185
"perform",183
"user",183
"avail",182
"don",181
"set",181
"softwar",176
"give",175
"end",174
"year",174
"across",170
"network",169
"resourc",169
"compo",167
"machin",167
"peopl",163
"thank",160
"case",158
"mani",157
"intellig",156
"allow",155
"tri",155
"littl",154
"second",154
"base",151
"bit",151
"secur",151
"virtual",150
"oper",148
"inform",146
"within",145
"flow",143
"big",141
"comput",141
"tabl",140
"workload",139
"show",138
"point",134
"quick",133
"tool",133
"part",132
"connect",130
"node",130
"access",129
"move",129
"bring",127
"drive",127
"integr",127
"autom",126
"code",125
"deliv",125
"primera",125
"world",125
"edg",124
"good",123
"sort",123
"center",122
"engin",122
"number",122
"team",122
"scale",121
"hybrid",120
"updat",120
"support",119
"valu",119
"term",118
"anoth",116
"type",116
"app",115
"develop",115
"alreadi",114
"file",114
"import",114
"everyth",113
"mayb",113
"togeth",113
"last",112
"happen",111
"enabl",108
"question",107
"transform",105
"control",104
"might",104
"compani",103
"enterpri",103
"market",103
"order",103
"cost",102
"key",102
"name",102
"basic",101
"step",100
"find",99
"keep",99
"cluster",97
"partner",96
"protect",96
"specif",96
"configur",95
"day",95
"critic",94
"function",93
"everi",92
"frame",91
"architectur",90
"interest",90
"probabl",90
"problem",90
"insight",89
"templat",89
"understand",89
"done",88
"offer",88
"singl",88
"alway",87
"continu",87
"high",87
"sourc",87
"column",86
"group",86
"particular",86
"share",86
"may",85
"public",85
"stack",85
"industri",84
"top",84
"api",83
"relea",83
"consum",82
"organ",82
"recommend",82
"session",82
"host",81
"microsoft",81
"focus",80
"area",79
"guy",79
"oneview",79
"innov",78
"level",78
"line",78
"requir",78
"view",78
"activ",77
"add",77
"error",77
"open",77
"optim",77
"final",76
"sap",76
"analyt",75
"demo",75
"featur",75
"instal",75
"store",75
"synergi",75
"leverag",74
"fast",73
"financ",73
"cach",72
"certain",72
"generat",72
"media",72
"queri",72
"coupl",71
