"","term","topic1","topic2","topic3","topic4","topic5","log_ratio"
"1","academ",0.00114135868847511,2.97023233157298e-06,3.92674268840511e-06,3.06453293453544e-06,2.27368842283329e-06,-8.58596075228163
"2","accel",9.43271643367857e-06,0.00220094215769557,0.000475135865297019,3.06453293453544e-06,2.27368842283329e-06,7.8662322172988
"3","actual",0.00019808704510725,0.00478504428616406,0.00200656551377501,0.00934988998326765,0.00450417676563274,4.59432584092077
"4","add",9.43271643367857e-06,0.00234945377427422,0.0016138912449345,9.50005209705989e-05,0.00109364413138281,7.96043636946576
"5","advanc",0.00104703152413832,2.97023233157298e-06,0.000828542707253479,0.000401453814424144,0.000229642530706162,-8.46151338135714
"6","agent",9.43271643367857e-06,0.00160689569138098,3.92674268840511e-06,3.06453293453544e-06,0.00252606783776778,7.41238726881978
"7","airport",0.00189597600316939,3.26725556473027e-05,3.92674268840511e-06,3.06453293453544e-06,2.27368842283329e-06,-5.85871758754867
"8","almost",0.00142434018148546,0.00038910043543606,0.000435868438412968,0.000799843095913752,0.000366063836076159,-1.87207925279466
"9","alreadi",0.00199030316750618,0.0020227282178012,0.00196729808689096,0.00132081369478478,0.000957222826012815,0.0233142842978503
"10","anoth",9.43271643367857e-06,0.00199302589448547,4.31941695724562e-05,0.00227081890449077,0.00145743427903614,7.72307144119315
"11","anthropocen",0.00114135868847511,2.97023233157298e-06,3.92674268840511e-06,3.06453293453544e-06,2.27368842283329e-06,-8.58596075228163
"12","anti",0.00114135868847511,2.97023233157298e-06,3.92674268840511e-06,3.06453293453544e-06,2.27368842283329e-06,-8.58596075228163
"13","applic",9.43271643367857e-06,0.00499296054937417,0.00860349323029561,0.000769197766568397,0.000388800720304492,9.04800649422913
"14","arduino",0.000292414209444036,0.00125046781159222,3.92674268840511e-06,3.06453293453544e-06,2.27368842283329e-06,2.09638259767249
"15","area",0.000764050031127964,0.00133957478153941,0.00133901925674614,0.00129016836543942,0.000229642530706162,0.810036105363723
"16","arm",0.000575395702454393,0.00125046781159222,0.000200263877108661,3.06453293453544e-06,2.27368842283329e-06,1.11984157049648
"17","artifici",0.00415982794725225,0.000270291142173141,3.92674268840511e-06,0.00107565106002194,2.27368842283329e-06,-3.94393772036586
"18","assign",0.00142434018148546,2.97023233157298e-06,3.92674268840511e-06,3.06453293453544e-06,0.00068438021527282,-8.90550225433211
"19","attack",0.00180164883883261,2.97023233157298e-06,3.92674268840511e-06,0.00122887770674871,2.27368842283329e-06,-9.24452634304278
"20","audio",9.43271643367857e-06,0.00125046781159222,3.92674268840511e-06,3.06453293453544e-06,2.27368842283329e-06,7.05057890805936
"21","authent",0.00331088346822118,0.000121779525594492,3.92674268840511e-06,3.06453293453544e-06,2.27368842283329e-06,-4.76487273069351
"22","automat",9.43271643367857e-06,0.00119106316496076,0.000121729023340559,3.06453293453544e-06,0.000457011372989491,6.98036091144789
"23","background",9.43271643367857e-06,0.00110195619501357,0.000239531303992712,0.000278872497042726,2.27368842283329e-06,6.86817786161377
"24","base",9.43271643367857e-06,0.00166630033801244,0.00404847171174567,3.06453293453544e-06,0.00391301777569609,7.46475944560176
"25","basic",9.43271643367857e-06,0.00329992812037757,0.000200263877108661,0.00224017357514541,0.0069597602622927,8.45054558638206
"26","batterij",0.00142434018148546,2.97023233157298e-06,3.92674268840511e-06,3.06453293453544e-06,2.27368842283329e-06,-8.90550225433211
"27","beauti",0.00114135868847511,2.97023233157298e-06,0.000553670719065121,3.06453293453544e-06,2.27368842283329e-06,-8.58596075228163
"28","becom",0.00246193898919011,0.00148808639811806,0.00118194954920994,3.06453293453544e-06,0.000798064636414484,-0.72633671838171
"29","begin",9.43271643367857e-06,0.00139897942817087,4.31941695724562e-05,0.000462744473114853,0.000411537604532825,7.21248573460575
"30","believ",0.00151866734582225,2.97023233157298e-06,3.92674268840511e-06,0.000738552437223043,2.27368842283329e-06,-8.99801439312165
"31","better",9.43271643367857e-06,0.00169600266132817,3.92674268840511e-06,0.00279178950336179,0.00113911789983948,7.49024942035581
"32","biolog",0.00180164883883261,2.97023233157298e-06,3.92674268840511e-06,0.000125645850315953,2.50105726511662e-05,-9.24452634304278
"33","bit",0.000103759880770464,0.00136927710485514,0.00110341469544184,0.00499825321622731,2.27368842283329e-06,3.72209380678501
"34","bms",0.00123568585281189,2.97023233157298e-06,3.92674268840511e-06,3.06453293453544e-06,2.27368842283329e-06,-8.70052051654448
"35","board",0.000386741373780821,0.00276528630069444,3.92674268840511e-06,3.06453293453544e-06,0.000115958109564498,2.83798783793368
"36","bodi",0.00170732167449582,0.000656421345277627,3.92674268840511e-06,3.06453293453544e-06,9.32212253361649e-05,-1.37904084269881
"37","brain",0.00114135868847511,2.97023233157298e-06,3.92674268840511e-06,0.000401453814424144,0.000161431878021164,-8.58596075228163
"38","browser",9.43271643367857e-06,0.00101284922506638,4.31941695724562e-05,3.06453293453544e-06,2.50105726511662e-05,6.74653041401714
"39","button",9.43271643367857e-06,0.00128017013490795,3.92674268840511e-06,0.000554680461150916,0.000252379414934495,7.08444654408206
"40","call",0.000481068538117607,0.00279498862401017,0.00196729808689096,0.00392566668913991,0.00198038261628779,2.53852805575001
"41","camera",9.43271643367857e-06,0.00659688600842358,3.92674268840511e-06,3.06453293453544e-06,2.27368842283329e-06,9.44989616253995
"42","capac",0.00133001301714868,0.000151481848910222,3.92674268840511e-06,3.06453293453544e-06,2.27368842283329e-06,-3.13422352543433
"43","capit",0.00312222913954761,2.97023233157298e-06,3.92674268840511e-06,3.06453293453544e-06,2.27368842283329e-06,-10.0377849218143
"44","captur",9.43271643367857e-06,0.00205243054111693,3.92674268840511e-06,0.000217581838352017,2.27368842283329e-06,7.76544438538122
"45","card",9.43271643367857e-06,0.00261677468411579,3.92674268840511e-06,0.000401453814424144,0.00109364413138281,8.11590069391338
"46","case",9.43271643367857e-06,0.00273558397737871,0.000396601011528916,0.00205630159907328,0.00436775546026275,8.1799598310843
"47","cell",0.00246193898919011,2.97023233157298e-06,8.24615964565075e-05,6.43551916252444e-05,7.0484341107832e-05,-9.69500351157692
