"","term","topic1","topic2","topic3","topic4","topic5","log_ratio"
"1","abil",0.000241028767492308,0.00168331467730772,0.000427191172594323,0.000197979950030515,1.83576174015527e-06,2.80402764623139
"2","abl",4.72605426455506e-06,0.00512969498110187,0.00303275435295686,0.00206324559494611,0.00249847172835132,10.0840211339316
"3","access",0.000571852566011163,0.00208206942320126,0.000427191172594323,0.000361599743444164,1.83576174015527e-06,1.8643030267032
"4","accompani",0.00156432396156773,2.84824818495384e-06,3.02972462832853e-06,1.63619793413649e-06,1.83576174015527e-06,-9.10124873878186
"5","across",4.72605426455506e-06,0.00145545482251141,0.00112402783710989,0.000361599743444164,0.000699425222999158,8.26661814896298
"6","actual",0.00250953481447874,0.00433218548931479,3.02972462832853e-06,0.00775721440574109,0.0125217308295991,0.787675054945697
"7","adam",4.72605426455506e-06,0.00196813949580311,3.02972462832853e-06,0.000165255991347785,1.83576174015527e-06,8.70198056841361
"8","add",0.00255679535712429,0.0002591905848308,3.02972462832853e-06,0.000754287247636921,0.000791213310006921,-3.30225147560277
"9","addit",0.00104445799246667,0.000600980367025261,0.000245407694894611,0.000721563288954192,1.83576174015527e-06,-0.797364702658892
"10","address",4.72605426455506e-06,0.00145545482251141,3.02972462832853e-06,1.63619793413649e-06,0.000258842405361893,8.26661814896298
"11","agenc",4.72605426455506e-06,0.00196813949580311,3.02972462832853e-06,1.63619793413649e-06,1.83576174015527e-06,8.70198056841361
"12","algorithm",0.00203692938802323,0.000828840221821569,0.00136640580737617,0.00109788881380558,0.00503182292976559,-1.29723004815546
"13","allow",0.00203692938802323,0.000230708102981261,0.00185116174790873,0.000705201309612826,0.000809570927408474,-3.14225538817912
"14","along",0.00109171853511222,0.000344638030379415,0.000336299433744467,0.000590667454223272,1.83576174015527e-06,-1.66344713611611
"15","alreadi",0.00208418993066878,0.00225296431429849,0.000851352620560317,0.000394323702126894,0.00108493518843176,0.112337706940627
"16","alway",9.92471395556565e-05,0.00171179715915726,0.000790758127993746,0.00114697475182968,0.00125015374504574,4.10834242595778
"17","amaz",0.00288761915564314,2.84824818495384e-06,3.02972462832853e-06,1.63619793413649e-06,0.00044241857937742,-9.98558990179338
"18","andrey",0.0157897472978785,2.84824818495384e-06,3.02972462832853e-06,1.63619793413649e-06,1.83576174015527e-06,-12.4366255993096
"19","anim",0.00184788721744103,2.84824818495384e-06,0.000972541605693459,1.63619793413649e-06,1.83576174015527e-06,-9.341586129282
"20","anoth",0.00260405589976984,0.00193965701395357,0.00188145899419202,0.0024886570578216,0.000974789484022448,-0.424958852533732
"21","answer",0.000146507682201207,0.00176876212285634,0.00221472870330816,0.000557943495540542,0.00024048478796034,3.59369181585896
"22","api",0.00156432396156773,2.84824818495384e-06,3.02972462832853e-06,1.63619793413649e-06,1.83576174015527e-06,-9.10124873878186
"23","architect",0.00137528179098552,2.84824818495384e-06,3.02972462832853e-06,1.63619793413649e-06,1.83576174015527e-06,-8.91543667488293
"24","area",4.72605426455506e-06,0.00373405337047449,0.000427191172594323,0.000279789846737339,0.00044241857937742,9.62589063824711
"25","art",0.00458899869088297,2.84824818495384e-06,3.02972462832853e-06,0.000361599743444164,0.000993147101424,-10.6538888173938
"26","artengin",0.00137528179098552,2.84824818495384e-06,3.02972462832853e-06,1.63619793413649e-06,1.83576174015527e-06,-8.91543667488293
"27","artifici",0.00132802124833997,0.00339226358828003,0.00272978189012401,1.63619793413649e-06,1.83576174015527e-06,1.35297004566854
"28","artist",0.00416365380707301,2.84824818495384e-06,3.02972462832853e-06,5.07221359582312e-05,1.83576174015527e-06,-10.5135595408951
"29","assembl",0.00109171853511222,2.84824818495384e-06,3.02972462832853e-06,1.63619793413649e-06,1.83576174015527e-06,-8.5823103733907
"30","assist",4.72605426455506e-06,0.00171179715915726,3.02972462832853e-06,1.63619793413649e-06,2.0193379141708e-05,8.50065984873654
"31","audienc",4.72605426455506e-06,0.00108518255846741,3.02972462832853e-06,1.63619793413649e-06,0.000111981466149471,7.84308585551868
"32","author",0.00194240830273213,0.000572497885175723,3.02972462832853e-06,0.000623391412906002,1.83576174015527e-06,-1.7625042244774
"33","autom",0.00109171853511222,0.00128455993141418,3.02972462832853e-06,1.63619793413649e-06,1.83576174015527e-06,0.234673249864678
"34","avail",0.00109171853511222,0.00154090226806003,0.000275704941177896,1.63619793413649e-06,0.000368988109771209,0.497174410436111
"35","azur",0.00113897907775777,2.84824818495384e-06,3.02972462832853e-06,1.63619793413649e-06,1.83576174015527e-06,-8.64345066820461
"36","base",0.00473078031881962,0.00134152489511326,0.00385078000260556,0.00135968048326742,0.000167054318354129,-1.81820434119786
"37","basic",0.00274583752770649,0.00134152489511326,0.00118462232967646,0.00389578728117898,0.00189267035410008,-1.03337243576639
"38","becaus",4.72605426455506e-06,0.00156938474990957,3.02972462832853e-06,0.000132532032665056,0.000350630492369656,8.37534717659651
"39","becom",4.72605426455506e-06,0.00134152489511326,0.00215413421074159,0.000770649226978286,0.000662709988196052,8.14902191763814
"40","benefit",4.72605426455506e-06,0.00102821759476834,9.39214634781844e-05,1.63619793413649e-06,0.000222127170558788,7.76529369491253
"41","best",5.19865969101057e-05,0.00114214752216649,0.00163908102392574,0.000443409640150989,0.000901359014416237,4.45746547584298
"42","bias",4.72605426455506e-06,0.0013700073769628,0.00176027000905888,0.000279789846737339,0.00044241857937742,8.1793317517954
"43","bring",0.00165884504685883,0.0017402796410068,0.00018481320232804,0.000492495578175083,1.83576174015527e-06,0.0691400175395235
"44","bunch",0.00194240830273213,2.84824818495384e-06,3.02972462832853e-06,0.000574305474881907,0.000827928544810027,-9.41355591565633
"45","busi",4.72605426455506e-06,0.00353467599752772,3.02972462832853e-06,6.70841152995961e-05,1.83576174015527e-06,9.54672606815571
"46","button",0.00165884504685883,2.84824818495384e-06,3.02972462832853e-06,1.63619793413649e-06,1.83576174015527e-06,-9.18588855227921
"47","call",0.00250953481447874,0.0017402796410068,0.00394167174145542,0.00345401383896213,0.00225982270213113,-0.52810081296007
"48","carolyn",4.72605426455506e-06,0.00193965701395357,3.02972462832853e-06,1.63619793413649e-06,1.83576174015527e-06,8.68094965603743
"49","case",0.00265131644241539,0.00176876212285634,0.00260859290499087,0.00474661020692996,0.00051584904898363,-0.583968834362957
"50","center",4.72605426455506e-06,0.00239537672354618,3.02972462832853e-06,0.000377961722785529,1.83576174015527e-06,8.9854006582805
"51","certain",4.72605426455506e-06,0.00142697234066188,0.00133610856109288,1.63619793413649e-06,0.00189267035410008,8.23810546122056
"52","challeng",4.72605426455506e-06,0.00222448183244895,0.00236621493472458,1.63619793413649e-06,0.000883001397014684,8.87861740616733
"53","chang",0.00529790683056623,0.000657945330724338,0.00279037638269058,0.00207960757428748,0.00163566371047834,-3.00938285336401
"54","charact",0.00156432396156773,2.84824818495384e-06,0.000396893926311038,0.000574305474881907,1.83576174015527e-06,-9.10124873878186
"55","check",0.00170610558950438,2.84824818495384e-06,3.33269709116139e-05,0.000492495578175083,0.000460776196778972,-9.22641635886182
"56","classif",0.00118623962040332,3.13307300344923e-05,3.02972462832853e-06,0.00137604246260879,1.83576174015527e-06,-5.24267326728812
"57","click",0.00156432396156773,0.000287673066680338,3.02972462832853e-06,1.63619793413649e-06,1.83576174015527e-06,-2.44303725603007
"58","cloud",0.00189514776008658,0.00156938474990957,3.02972462832853e-06,1.63619793413649e-06,1.83576174015527e-06,-0.272111249858407
"59","code",0.00614859659818614,2.84824818495384e-06,3.02972462832853e-06,0.000787011206319651,0.00145208753646282,-11.0759665786924
"60","coiera",4.72605426455506e-06,0.00279413146943972,3.02972462832853e-06,1.63619793413649e-06,1.83576174015527e-06,9.20754799424459
"61","collabor",4.72605426455506e-06,0.00102821759476834,3.33269709116139e-05,6.70841152995961e-05,0.000699425222999158,7.76529369491253
"62","collect",0.000241028767492308,0.00105670007661788,0.000548380157727464,1.63619793413649e-06,0.000460776196778972,2.13228870267466
"63","color",0.00317118241151645,2.84824818495384e-06,3.02972462832853e-06,0.000574305474881907,0.000203769553157235,-10.1207302881748
"64","combin",0.00151706341892218,0.000145260657432646,0.00115432508339317,0.000787011206319651,1.83576174015527e-06,-3.38456547712545
"65","comment",0.00113897907775777,0.000487050439627107,0.00018481320232804,1.63619793413649e-06,7.5266231346366e-05,-1.22559815331871
"66","communiti",4.72605426455506e-06,0.00259475409649295,0.000275704941177896,1.63619793413649e-06,0.000883001397014684,9.10074591182741
"67","compani",4.72605426455506e-06,0.00270868402389111,0.00203294522560844,1.63619793413649e-06,0.000130339083551024,9.16274019888592
"68","complet",0.00222597155860544,2.84824818495384e-06,0.00100283885197674,0.000132532032665056,0.000534206666385183,-9.61014458158743
"69","compo",0.00241501372918764,2.84824818495384e-06,3.02972462832853e-06,0.000148894012006421,1.83576174015527e-06,-9.72774081291227
"70","compon",0.00113897907775777,3.13307300344923e-05,0.000336299433744467,0.000443409640150989,1.83576174015527e-06,-5.18401904956731
"71","composit",0.00123350016304887,2.84824818495384e-06,3.02972462832853e-06,9.98080739823258e-05,1.83576174015527e-06,-8.75846732854453
"72","comput",0.00539242791585733,0.00555693220884495,0.00342661855463957,0.00283225862399026,0.00328784927661809,0.0433536543456992
