"","x"
"learn",2153
"model",2127
"use",2107
"data",2011
"think",1728
"generat",1690
"realli",1516
"work",1436
"imag",1425
"now",1414
"actual",1361
"time",1243
"train",1180
"differ",1083
"peopl",959
"let",858
"tri",852
"exampl",832
"don",815
"need",806
"comput",774
"mean",770
"network",761
"someth",760
"question",748
"first",728
"machin",718
"sampl",717
"good",716
"distribut",657
"talk",645
"set",642
"problem",639
"human",617
"might",586
"start",585
"call",578
"probabl",549
"mani",543
"abl",542
"give",533
"case",522
"interest",517
"process",511
"better",499
"littl",496
"system",488
"basic",485
"bit",481
"point",474
"tom",473
"mayb",468
"real",468
"discrimin",462
"year",462
"algorithm",458
"neural",452
"happen",447
"function",445
"chang",443
"part",439
"creat",436
"sort",420
"deep",416
"paper",412
"design",401
"thank",398
"technolog",392
"anoth",390
"idea",390
"build",389
"paramet",389
"general",382
"show",372
"inform",371
"base",366
"world",361
"import",360
"understand",358
"cour",356
"term",354
"number",349
"help",346
"optim",344
"research",343
"input",341
"output",341
"high",340
"particular",340
"andrey",334
"layer",334
"space",331
"big",330
"given",329
"state",327
"type",323
"find",320
"intellig",316
"today",315
"variabl",315
"predict",312
"valu",308
"word",308
"languag",301
"end",300
"play",300
"program",296
"featur",292
"pretti",291
"result",291
"everi",285
"develop",283
"method",282
"video",282
"step",278
"turn",277
"last",275
"class",274
"face",274
"possibl",274
"done",272
"test",272
"scienc",269
"task",263
"pixel",261
"second",260
"experi",259
"order",258
"code",257
"tell",256
"essenti",255
"loss",255
"sen",255
"gradient",254
"move",250
"music",249
"object",246
"latent",245
"reason",244
"game",242
"project",239
"architectur",237
"artifici",237
"direct",237
"perform",235
"alreadi",234
"produc",234
"yes",233
"ask",232
"level",232
"small",232
"solv",232
"long",230
"alway",226
"doesn",226
"gaussian",225
"structur",225
"tool",225
"exact",224
"quit",220
"power",219
"day",218
"togeth",218
"person",217
"made",216
"variat",214
"normal",212
"fact",211
"improv",211
"observ",210
"may",207
"far",205
"challeng",204
"cool",204
"deci",204
"origin",203
"robot",203
"vector",203
"focus",202
"becom",201
"specif",200
"allow",199
"appli",198
"weight",198
"certain",197
"zero",197
"open",196
"stuff",195
"hope",194
"natur",194
"line",193
"final",191
"map",189
"practic",189
"simpl",189
"product",188
"condit",187
"area",186
"infer",186
"requir",186
"answer",185
"approach",185
"mention",183
"gan",179
"hand",179
