"","term","topic1","topic2","topic3","topic4","topic5","log_ratio"
"1","abl",0.00197908708629518,0.000255407858738745,0.00354020663246875,0.00200422749624892,0.000422394228274879,-2.95396027542278
"2","actual",0.00165591806501902,0.00191210748299007,0.00426269778195217,0.00507080508613797,0.00578720838160534,0.207532332155595
"3","air",0.000350315219063353,0.00198113663400054,1.85254140893184e-06,3.2856188463097e-05,0.000218667108528153,2.49960281176987
"4","aircraft",1.29267608510462e-06,0.00117579653887837,1.85254140893184e-06,1.56458040300462e-06,1.35818079831151e-06,9.82906190666452
"5","airplan",1.29267608510462e-06,0.00124482568988884,1.85254140893184e-06,1.56458040300462e-06,1.35818079831151e-06,9.91136720955371
"6","airport",1.29267608510462e-06,0.00343074880522044,1.85254140893184e-06,1.56458040300462e-06,1.35818079831151e-06,11.3739469680103
"7","allow",0.000854458892254156,0.00126783540689233,5.74287836768872e-05,0.00222326875266957,0.000354485188359304,0.569284472790363
"8","almost",0.00126811523948764,0.00122181597288535,0.000113005025944842,0.000283189052943836,0.000327321572393074,-0.053658849688187
"9","alway",0.00126811523948764,0.000370456443756198,0.00216932598985919,0.000940312822205777,0.000802684851802103,-1.77531002237772
"10","amazon",0.00424127023522827,2.30097170034906e-06,1.85254140893184e-06,0.00195729008415878,1.49399887814266e-05,-10.8480374527915
"11","amd",1.29267608510462e-06,0.00145191314292025,1.85254140893184e-06,1.56458040300462e-06,1.35818079831151e-06,10.1333786207094
"12","america",0.00135860256544496,2.30097170034906e-06,1.85254140893184e-06,1.56458040300462e-06,1.35818079831151e-06,-9.20566452823528
"13","american",0.00138445608714705,0.000232398141735255,2.03779554982503e-05,1.72103844330508e-05,1.35818079831151e-06,-2.57464885627156
"14","anoth",0.00205664765140146,0.000899679934836482,0.00250278344346692,0.000815146389965407,0.00178057502658639,-1.1928108972968
"15","answer",0.00107421382672194,2.30097170034906e-06,0.000224157510480753,0.000627396741604853,1.35818079831151e-06,-8.86682224104345
"16","applaus",0.0022376223033161,2.30097170034906e-06,1.85254140893184e-06,0.000314480661003929,1.35818079831151e-06,-9.92550758363974
"17","ask",0.0025995716071454,2.30097170034906e-06,0.000409411651373937,0.000768208977875268,0.000626121348021606,-10.1418149405785
"18","audio",1.29267608510462e-06,0.00101472851985393,1.85254140893184e-06,0.000236251640853698,1.35818079831151e-06,9.61651727128442
"19","away",0.00184981947778472,0.000531524462780632,1.85254140893184e-06,0.000439647093244298,0.000884175699700793,-1.79917648958371
"20","bad",0.00102250678331776,2.30097170034906e-06,1.85254140893184e-06,1.56458040300462e-06,0.00103357558751506,-8.79565145874589
"21","ball",0.00216006173820983,2.30097170034906e-06,1.85254140893184e-06,1.56458040300462e-06,0.000164339876595693,-9.87461359233429
"22","base",0.00188859976033785,0.000485505028773651,0.00374398618745125,0.00197293588818883,0.000368066996342419,-1.95975884836941
"23","batteri",1.29267608510462e-06,0.00177404918096912,1.85254140893184e-06,4.85019924931433e-05,1.49399887814266e-05,10.4224694756419
"24","becom",0.00108714058757299,0.000899679934836482,0.00139125859810781,0.000533521917424576,9.64308366801172e-05,-0.273054767220894
"25","behind",0.00121640819608345,0.000554534179784123,0.00026120833865939,1.56458040300462e-06,0.000707612195920297,-1.13327915077168
"26","believ",0.00161713778246588,2.30097170034906e-06,5.74287836768872e-05,1.56458040300462e-06,0.000177921684578808,-9.45698364843892
"27","best",0.00128104200033868,0.00124482568988884,0.000539089549999166,0.000846437998025499,0.00106073920348129,-0.0413740376327754
"28","better",0.00100958002246671,0.00147492285992375,0.00135420776992918,0.00112806247056633,0.00163117513877212,0.54688423420366
"29","bezo",0.00125518847863659,2.30097170034906e-06,1.85254140893184e-06,1.56458040300462e-06,1.35818079831151e-06,-9.09144505969229
"30","biden",0.00181103919523158,2.30097170034906e-06,1.85254140893184e-06,1.56458040300462e-06,1.35818079831151e-06,-9.62035881470392
"31","big",0.00363371247522909,0.00161298116194469,0.000224157510480753,0.000408355485184206,0.00171266598667081,-1.17171467864282
"32","bit",0.0010612870658709,2.53106887038396e-05,0.00170619063762623,0.00219197714460947,0.0074577707635285,-5.38992436741361
"33","board",0.00110006734842403,0.00494939012745082,0.000335309995016664,1.56458040300462e-06,0.00101999377953194,2.169658913464
"34","boe",1.29267608510462e-06,0.00409803059832167,1.85254140893184e-06,1.56458040300462e-06,1.35818079831151e-06,11.6303542268285
"35","book",0.0017334786301253,2.30097170034906e-06,0.000464987893641893,1.56458040300462e-06,0.000110012644663232,-9.55721109617757
"36","break",0.00121640819608345,0.000140359273721293,0.000502038721820529,6.41477965231894e-05,0.000381648804325534,-3.11543114943875
"37","bring",0.00143616313055124,2.30097170034906e-06,0.000742869104981669,0.0014566243551973,0.00190281129843442,-9.28576067566219
"38","build",0.00227640258586924,0.0037758945602728,0.00135420776992918,0.00261441385342072,0.000381648804325534,0.730062755409402
"39","built",1.29267608510462e-06,0.00251036012508082,0.000631716620445758,0.00134710372698698,1.49399887814266e-05,10.9233178120505
"40","busi",0.00226347582501819,2.53106887038396e-05,0.00355873204655807,0.00322460021059252,4.21036047476568e-05,-6.48264932406936
"41","buy",0.00112592087012613,0.000301427292745727,0.000150055854123479,0.000314480661003929,0.00114223005137998,-1.90122348133452
"42","cabl",1.29267608510462e-06,0.00202715606800752,2.03779554982503e-05,1.56458040300462e-06,1.35818079831151e-06,10.6148806346473
"43","call",0.00316834908459143,0.000876670217832991,0.000816970761338942,0.00483611802568728,0.00188922949045131,-1.85362515564662
"44","came",0.00166884482587007,0.000991718802850443,3.89033695875687e-05,1.56458040300462e-06,0.000368066996342419,-0.750846800491195
"45","camera",1.29267608510462e-06,0.00161298116194469,1.85254140893184e-06,0.00233278938087989,1.35818079831151e-06,10.2851530597375
"46","camp",1.29267608510462e-06,0.00119880625588186,1.85254140893184e-06,1.56458040300462e-06,1.35818079831151e-06,9.85702198800541
"47","cannon",1.29267608510462e-06,0.00276346701211922,1.85254140893184e-06,1.56458040300462e-06,1.35818079831151e-06,11.0619028614325
"48","car",0.00199201384714622,2.30097170034906e-06,0.000742869104981669,1.56458040300462e-06,1.35818079831151e-06,-9.75776872078789
"49","carbon",0.000337388458212307,0.00106074795386092,1.85254140893184e-06,1.56458040300462e-06,1.35818079831151e-06,1.65259936958635
"50","care",0.00117762791353031,0.00108375767086441,0.000298259166838027,0.000455292897274345,0.000626121348021606,-0.119841568462369
"51","case",0.000776898327147878,0.00257938927609129,0.00200259726305532,0.00211374812445924,0.000422394228274879,1.73123180782114
"52","caus",0.000337388458212307,0.00117579653887837,0.000279733752748708,0.000298834856973882,0.000857012083734562,1.80115591009464
"53","certain",0.00113884763097717,2.30097170034906e-06,0.00583735797954424,1.56458040300462e-06,6.9267220713887e-05,-8.95111578319352
"54","chanc",0.0010612870658709,2.30097170034906e-06,0.000113005025944842,1.56458040300462e-06,0.000123594452646347,-8.84935598605091
"55","chang",0.00303908147608097,4.83204057073302e-05,0.00743054359122562,0.000674334153694991,0.00157684790683966,-5.97485897514736
"56","chip",1.29267608510462e-06,0.00188909776598658,3.89033695875687e-05,1.56458040300462e-06,2.85217967645417e-05,10.5131208375047
"57","citi",0.00353029838842072,0.00126783540689233,1.85254140893184e-06,1.56458040300462e-06,1.35818079831151e-06,-1.47742266446723
"58","close",0.00100958002246671,0.000807641066822519,0.0013727331840185,4.85019924931433e-05,0.00154968429087343,-0.321969092110521
"59","combat",1.42194369361509e-05,0.00117579653887837,1.85254140893184e-06,1.56458040300462e-06,0.000911339315667023,6.36963028802722
"60","communiti",0.00303908147608097,2.30097170034906e-06,1.85254140893184e-06,3.2856188463097e-05,1.35818079831151e-06,-10.3671763979261
"61","compani",0.00364663923608014,0.000784631349819029,0.000687292862713714,0.00130016631489684,2.85217967645417e-05,-2.2164805958345
"62","compon",1.29267608510462e-06,0.00129084512389582,0.000390886237284619,0.000439647093244298,2.85217967645417e-05,9.96373938633569
"63","comput",1.29267608510462e-06,0.00200414635100403,0.000242682924570071,0.00449191033702627,0.000123594452646347,10.5984113343258
"64","connector",1.29267608510462e-06,0.00117579653887837,1.85254140893184e-06,1.72103844330508e-05,1.35818079831151e-06,9.82906190666452
"65","control",0.000389095501616492,0.00223424352103894,0.00405891822696967,0.00136274953101702,0.000272994340460613,2.52159023438639
"66","core",2.71461977871971e-05,0.0015899714449412,1.85254140893184e-06,0.00072127156578513,1.35818079831151e-06,5.8721069033364
"67","corpor",0.000130560284595567,0.00117579653887837,9.4479611855524e-05,0.000173668424733513,1.35818079831151e-06,3.17085042391272
"68","countri",0.00175933215182739,0.000485505028773651,0.000131530440034161,1.56458040300462e-06,1.35818079831151e-06,-1.85746973706991
"69","coupl",0.00148787017395542,0.000715602198808557,0.000279733752748708,1.56458040300462e-06,0.00175341141062016,-1.05601892227473
"70","cour",0.00138445608714705,0.000922689651839972,0.00322527459295034,0.00162872819952781,0.000979248355582598,-0.585401912568437
"71","covid",0.000117633523744521,0.00198113663400054,0.000131530440034161,1.56458040300462e-06,1.35818079831151e-06,4.07395721292504
"72","cpu",1.29267608510462e-06,0.00156696172793771,1.85254140893184e-06,0.000361418073094067,1.35818079831151e-06,10.243393413739
"73","creat",0.00112592087012613,2.30097170034906e-06,0.00346610497611148,0.00237972679297003,0.000653284963987836,-8.93464648287197
"74","crew",4.00729586382433e-05,0.00117579653887837,1.85254140893184e-06,1.56458040300462e-06,8.28490286970021e-05,4.87486559627764
"75","crui",0.00112592087012613,2.30097170034906e-06,1.85254140893184e-06,1.56458040300462e-06,1.35818079831151e-06,-8.93464648287197
"76","day",0.00407322234416467,0.00211919493602148,0.000891072417696217,0.00103418764638605,0.000884175699700793,-0.942654267199306
"77","deal",0.00160421102161484,2.30097170034906e-06,0.00026120833865939,0.000643042545634899,0.000517466884156685,-9.44540497440346
"78","debat",0.00188859976033785,2.30097170034906e-06,1.85254140893184e-06,1.56458040300462e-06,1.35818079831151e-06,-9.6808580370766
"79","design",4.00729586382433e-05,0.00370686540926233,0.00179881770807282,0.00134710372698698,0.000979248355582598,6.53142689404659
"80","destin",1.29267608510462e-06,0.00356880710724139,1.85254140893184e-06,1.56458040300462e-06,1.35818079831151e-06,11.430865396763
"81","didn",0.00219884202076296,0.00142890342591676,1.85254140893184e-06,1.56458040300462e-06,0.00191639310641754,-0.621835541716005
"82","differ",0.00218591525991192,0.00191210748299007,0.00402186739879103,0.00378784915567418,0.00221519288204607,-0.193073851912742
"83","display",1.29267608510462e-06,0.00202715606800752,1.85254140893184e-06,0.00026754324891379,1.35818079831151e-06,10.6148806346473
"84","doesn",0.00203079412969936,0.000577543896787613,0.000242682924570071,0.000486584505334437,0.00226952011397853,-1.81404148561653
"85","dollar",0.00152665045650856,9.43398397143114e-05,1.85254140893184e-06,0.00026754324891379,0.00138670259507605,-4.01635881905217
"86","don",0.00757637453479819,2.30097170034906e-06,0.000816970761338942,0.00115935407862642,0.0103371140559489,-11.6850486962718
"87","done",0.00191445328203995,0.000370456443756198,0.00328085083521829,0.000220605836823651,0.00203862937826558,-2.36955662144733
"88","ear",0.00169469834757216,0.00106074795386092,0.000668767448624395,1.56458040300462e-06,0.000150758068612578,-0.675946604065518
"89","economi",0.00108714058757299,2.30097170034906e-06,1.85254140893184e-06,1.56458040300462e-06,1.35818079831151e-06,-8.88407956452824
"90","elect",0.00135860256544496,2.30097170034906e-06,1.85254140893184e-06,1.56458040300462e-06,1.35818079831151e-06,-9.20566452823528
"91","employ",0.00128104200033868,2.53106887038396e-05,0.000483513307731211,1.56458040300462e-06,1.35818079831151e-06,-5.66142720282229
"92","end",0.00151372369565751,0.000117349556717802,0.00355873204655807,0.0020981023204292,0.00258190169759018,-3.68921759280282
"93","engin",0.000117633523744521,0.00188909776598658,0.000150055854123479,0.000987250234295916,1.35818079831151e-06,4.00532619730601
"94","etei",1.29267608510462e-06,0.00172802974696214,1.85254140893184e-06,1.56458040300462e-06,1.35818079831151e-06,10.3845515232412
"95","ever",0.00108714058757299,0.00103773823685743,1.85254140893184e-06,0.000298834856973882,0.000544630500122916,-0.0670959412728648
"96","everi",0.00254786456374121,0.000945699368843462,0.00189144477851941,0.00130016631489684,0.000381648804325534,-1.42983505163491
"97","everybodi",0.00144908989140228,2.30097170034906e-06,0.00026120833865939,1.56458040300462e-06,0.000544630500122916,-9.29868813707853
"98","everyth",0.00194030680374204,0.00043948559476667,0.000576140378177803,0.00059610513354476,0.00186206587448508,-2.14239700785804
"99","expen",0.000208120849701844,0.00126783540689233,3.89033695875687e-05,0.000408355485184206,1.35818079831151e-06,2.60687405618344
"100","face",0.00108714058757299,0.00041647587776318,0.000464987893641893,1.56458040300462e-06,0.000748357619869642,-1.38423367744504
"101","fact",0.00208250117310355,0.00124482568988884,0.000409411651373937,6.41477965231894e-05,1.35818079831151e-06,-0.742373569152857
"102","famili",0.00116470115267927,2.30097170034906e-06,1.85254140893184e-06,0.000189314228763559,0.00114223005137998,-8.98350087008664
"103","fan",0.000285681414808121,0.00154395201093422,2.03779554982503e-05,1.56458040300462e-06,0.000300157956426844,2.43414882253565
"104","far",0.00115177439182822,0.00147492285992375,0.000502038721820529,0.000330126465033975,0.000761939427852757,0.356781350823717
"105","feel",0.00201786736884832,0.000324437009749217,1.85254140893184e-06,0.00026754324891379,0.00256831988960707,-2.63682104385222
"106","field",0.00116470115267927,0.000646573047798085,1.85254140893184e-06,0.000909021214145684,1.35818079831151e-06,-0.849074549865715
"107","fire",0.000363241979914399,0.00267142814410525,1.85254140893184e-06,1.56458040300462e-06,0.000422394228274879,2.87860836237154
"108","first",0.00619321112373625,0.00246434069107384,0.00203964809123396,0.00289603832596155,0.00324741028876282,-1.32948590765523
"109","fli",0.000246901132254983,0.00147492285992375,1.85254140893184e-06,1.56458040300462e-06,6.9267220713887e-05,2.57863414430989
"110","flight",1.29267608510462e-06,0.00168201031295516,1.85254140893184e-06,1.56458040300462e-06,1.35818079831151e-06,10.3456100216793
"111","focus",0.00125518847863659,2.30097170034906e-06,0.00116895362903599,0.000439647093244298,1.35818079831151e-06,-9.09144505969229
"112","food",0.00022104761055289,0.00101472851985393,1.85254140893184e-06,4.85019924931433e-05,0.000272994340460613,2.19866475639852
"113","forc",0.00135860256544496,0.00145191314292025,3.89033695875687e-05,1.56458040300462e-06,9.64308366801172e-05,0.0958316667472678
"114","found",0.000337388458212307,0.00149793257692724,0.000335309995016664,0.000455292897274345,0.000775521235835872,2.15049016232265
"115","four",0.00172055186927425,0.000945699368843462,0.000594665792267122,0.000283189052943836,0.00164475694675524,-0.863417846503312
"116","front",0.000466656066722769,0.00147492285992375,0.000335309995016664,0.000298834856973882,0.00100641197154883,1.66020794545847
"117","full",0.000570070153531139,0.00122181597288535,0.000298259166838027,0.000830792193995453,0.000463139652224225,1.09981563097353
"118","futur",0.000582996914382185,0.00103773823685743,3.89033695875687e-05,0.00147227015922735,1.35818079831151e-06,0.831882425726899
"119","game",0.00510736321224837,0.00292453503114365,1.85254140893184e-06,1.56458040300462e-06,0.00216086565011361,-0.804371390245814
"120","gang",1.29267608510462e-06,0.00154395201093422,1.85254140893184e-06,1.56458040300462e-06,1.35818079831151e-06,10.2220513819271
"121","get",1.29267608510462e-06,0.00115278682187488,7.59541977662056e-05,4.85019924931433e-05,0.000395230612308649,9.80054921892211
"122","give",0.00213420821650773,0.00103773823685743,0.00305854586614647,0.00180083204385832,0.00267697435347199,-1.04025835593098
"123","good",0.00452565897395128,0.000255407858738745,0.00072434369089235,0.00115935407862642,0.00667002590050783,-4.1472530543515
"124","graphic",6.59264803403357e-05,0.0011067673878679,2.03779554982503e-05,1.56458040300462e-06,0.000259412532477499,4.06935016752545
