"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5"
"1","phone","think","det","compani","network"
"2","use","realli","der","peopl","use"
"3","devic","time","het","year","servic"
"4","video","use","som","satellit","deploy"
"5","now","actual","den","busi","edg"
"6","camera","talk","har","fire","oper"
"7","realli","data","ikk","space","applic"
"8","actual","mean","til","countri","secur"
"9","good","work","med","need","privat"
"10","pixel","user","dat","program","provid"
"11","display","now","dan","huawei","devic"
"12","screen","technolog","man","big","cloud"
"13","someth","help","dus","public","connect"
"14","samsung","speed","jeg","world","slice"
"15","don","part","naar","now","core"
"16","littl","mani","van","govern","mobil"
"17","watch","question","alt","internet","need"
"18","better","signal","men","work","manag"
"19","pretti","thank","app","launch","azur"
"20","pro","let","skal","invest","case"
"21","ultra","differ","een","first","control"
"22","differ","idea","uit","billion","abl"
"23","day","exampl","kan","potenti","now"
"24","subscrib","call","sig","china","solut"
"25","work","channel","han","dell","differ"
"26","time","high","artikel","time","end"
"27","batteri","interest","iphon","spacex","iot"
"28","set","cell","met","becom","latenc"
"29","cour","may","ved","chang","softwar"
"30","expect","inform","end","call","technolog"
"31","give","futur","fordi","concern","enterpri"
"32","note","share","die","firm","creat"
"33","app","equip","nsev","money","move"
"34","power","base","hvis","develop","custom"
"35","though","don","bare","mckinsey","bring"
"36","year","system","fra","dollar","talk"
"37","appl","number","niet","investor","data"
"38","plea","second","ret","pandem","test"
"39","allow","understand","mennesk","made","capabl"
"40","android","world","var","manag","layer"
"41","bit","first","zijn","market","autom"
"42","featur","unit","dem","don","key"
"43","guy","connect","system","far","today"
"44","need","peopl","wat","abl","locat"
"45","check","today","andet","chine","public"
"46","doesn","band","arter","last","function"
"47","stream","current","del","technolog","industri"
"48","feel","real","eller","citi","import"
"49","sensor","case","foruren","human","market"
"50","charg","point","hebben","mani","requir"
"51","mode","good","maar","long","product"
"52","option","mayb","mail","month","support"
"53","big","low","rdier","start","time"
"54","button","refer","voor","tech","infrastructur"
"55","top","spectrum","helt","antibodi","realli"
"56","game","antenna","imod","help","start"
"57","iphon","whole","ind","live","user"
"58","support","might","kun","often","wireless"
"59","alway","area","ske","one","offer"
"60","rate","bring","staten","privat","point"
"61","show","huge","vil","communiti","radio"
"62","wireless","possibl","dere","comput","set"
"63","four","lte","deze","earth","experi"
"64","router","start","dit","larg","virtual"
"65","best","suppo","dyr","area","carrier"
"66","link","everi","gebruikt","disea","process"
"67","long","higher","hvad","health","low"
"68","turn","ask","icnirp","million","access"
"69","zoom","effect","kender","nation","monitor"
"70","color","basic","laten","plan","plane"
"71","access","excit","locati","emerg","platform"
"72","full","experi","meget","ipo","architectur"
"73","high","give","onz","narrat","first"
"74","plus","littl","preci","percent","base"
"75","qualiti","concept","problem","spac","challeng"
"76","chang","less","review","drive","zone"
"77","let","year","systemet","person","enabl"
"78","mean","direct","zet","san","hardwar"
"79","detail","order","andr","someth","let"
"80","googl","bit","blandt","deal","reliabl"
"81","old","element","dingen","global","avail"
"82","fast","everybodi","gaan","quick","comput"
"83","first","track","gewoon","sell","traffic"
"84","quick","activ","ghz","state","environ"
"85","smartphon","complet","konventionen","build","site"
"86","stuff","estim","lgelig","cost","sort"
"87","find","music","mijn","darpa","cost"
"88","hey","particular","nieuw","ear","high"
"89","oppo","person","relev","risk","integr"
"90","probabl","avail","rste","share","smart"
"91","think","becaus","selvf","virus","address"
"92","bottom","aspect","sige","fact","factori"
"93","cool","forward","sikr","major","contain"
"94","experi","resourc","veel","orbit","allow"
"95","light","solut","belangrijk","tri","bandwidth"
"96","love","togeth","daar","ever","benefit"
"97","notic","block","dag","industri","real"
"98","away","everyth","david","respon","anoth"
"99","didn","frequenc","europ","water","basic"
"100","free","need","famili","care","exampl"
