"","term","topic1","topic2","topic3","topic4","topic5","log_ratio"
"1","academ",0.00229662550686124,3.8884179582695e-06,4.32604198620386e-05,1.95926858722486e-05,4.61949241017397e-06,-9.20611661163768
"2","academi",0.00103663146319672,3.8884179582695e-06,3.9327654420035e-06,1.7811532611135e-06,4.61949241017397e-06,-8.05850407226596
"3","access",0.00453025131153925,0.00241470755208536,0.000475864618482425,0.00260226491448683,0.00115949259495367,-0.907742611435071
"4","account",5.72724565302055e-06,0.00136483470335259,3.9327654420035e-06,0.000251142609817004,4.61949241017397e-06,7.8966690351218
"5","across",0.000463906897894664,0.00109264544627373,0.00110510708920299,0.00114171924037376,0.000327983961122352,1.23591813215354
"6","action",0.00132299374584775,0.000314961854619829,3.9327654420035e-06,1.7811532611135e-06,0.0014366621395641,-2.07055722371419
"7","ada",0.00103663146319672,3.8884179582695e-06,3.9327654420035e-06,1.7811532611135e-06,0.000143204264715393,-8.05850407226596
"8","add",0.00160935602849877,3.8884179582695e-06,0.000318554000802284,0.000358011805483815,4.61949241017397e-06,-8.69308450540369
"9","addit",0.00138026620237795,0.000314961854619829,3.9327654420035e-06,0.000268954142428139,0.0016676367600728,-2.1316975185281
"10","adjust",0.00166662848502898,3.8884179582695e-06,3.9327654420035e-06,1.95926858722486e-05,0.00065134842983453,-8.74353352809104
"11","admiss",0.00246844287645186,3.8884179582695e-06,3.9327654420035e-06,1.7811532611135e-06,4.61949241017397e-06,-9.31020224427186
"12","advanc",0.00138026620237795,3.8884179582695e-06,0.000397209309642354,0.000144273414150194,0.000374178885224092,-8.47154752141272
"13","advertis",5.72724565302055e-06,0.00144260306251798,3.9327654420035e-06,1.7811532611135e-06,4.61949241017397e-06,7.97661719143804
"14","affair",0.00132299374584775,3.8884179582695e-06,3.9327654420035e-06,1.7811532611135e-06,4.61949241017397e-06,-8.41040722659882
"15","ago",5.72724565302055e-06,0.00101487708710834,3.9327654420035e-06,1.7811532611135e-06,4.61949241017397e-06,7.46924781138712
"16","agre",5.72724565302055e-06,0.0012870663441872,3.9327654420035e-06,1.7811532611135e-06,4.61949241017397e-06,7.81202922162446
"17","allow",6.29997021832261e-05,0.00268689680916422,0.000239898691962214,0.00114171924037376,0.00249914539390412,5.4144520965682
